Price,Age_08_04,KM,HP,Automatic,cc,Doors,Cylinders,Gears,Weight,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol
13500.0,23.0,46986.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
13750.0,23.0,72937.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
13950.0,24.0,41711.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
14950.0,26.0,48000.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
13750.0,30.0,38500.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
12950.0,32.0,61000.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
16900.0,27.0,94612.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
17200.0,30.0,75889.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
17200.0,27.0,19700.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
12950.0,23.0,71138.0,69.0,0.0,1900.0,3.0,4.0,5.0,1105.0,0,1,0
17200.0,25.0,31461.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,22.0,43610.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,25.0,32189.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,31.0,23000.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,32.0,34131.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,28.0,18739.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,30.0,34000.0,140.0,0.0,1800.0,3.0,4.0,5.0,1152.5,0,0,1
17200.0,24.0,21716.0,110.0,0.0,1600.0,3.0,4.0,5.0,1105.0,0,0,1
16750.0,24.0,25563.0,110.0,0.0,1600.0,3.0,4.0,5.0,1065.0,0,0,1
16950.0,30.0,64359.0,110.0,0.0,1600.0,3.0,4.0,5.0,1105.0,0,0,1
15950.0,30.0,67660.0,110.0,0.0,1600.0,3.0,4.0,5.0,1105.0,0,0,1
16950.0,29.0,43905.0,110.0,0.0,1600.0,3.0,4.0,5.0,1152.5,0,0,1
15950.0,28.0,56349.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
16950.0,28.0,32220.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
16250.0,29.0,25813.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
15950.0,25.0,28450.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
17200.0,27.0,34545.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
15750.0,29.0,41415.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
16950.0,28.0,44142.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
17200.0,30.0,11090.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
12950.0,29.0,9750.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15750.0,22.0,35199.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15950.0,27.0,29510.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
14950.0,26.0,32692.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15500.0,22.0,41000.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15750.0,26.0,43000.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15950.0,25.0,25000.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
14950.0,23.0,10000.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
15750.0,32.0,25329.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
14750.0,27.0,27500.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
13950.0,22.0,49059.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
16750.0,27.0,44068.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
13950.0,22.0,46961.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
16950.0,27.0,110404.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
16950.0,22.0,100250.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
17200.0,23.0,84000.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
17200.0,27.0,79375.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
15800.0,22.0,75048.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,22.0,72215.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
17200.0,31.0,64982.0,140.0,0.0,1800.0,5.0,4.0,5.0,1152.5,0,0,1
17200.0,22.0,62636.0,90.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
15750.0,30.0,57086.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,26.0,56000.0,110.0,0.0,1600.0,5.0,4.0,5.0,1152.5,0,0,1
17200.0,27.0,49866.0,140.0,0.0,1800.0,5.0,4.0,5.0,1152.5,0,0,1
15500.0,25.0,49163.0,110.0,0.0,1600.0,5.0,4.0,5.0,1152.5,0,0,1
13250.0,32.0,45725.0,110.0,0.0,1600.0,5.0,4.0,5.0,1075.0,0,0,1
15250.0,28.0,43210.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
15250.0,26.0,43000.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,23.0,39704.0,110.0,0.0,1600.0,5.0,4.0,5.0,1152.5,0,0,1
15999.0,30.0,38950.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
14950.0,22.0,37400.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
16500.0,27.0,37177.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
17200.0,31.0,36544.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
17200.0,30.0,33511.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
17200.0,27.0,32809.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
16950.0,26.0,32181.0,110.0,0.0,1600.0,5.0,4.0,5.0,1075.0,0,0,1
17200.0,28.0,30993.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
14950.0,22.0,30400.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,22.0,30000.0,110.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,1,0
15950.0,25.0,29719.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
15950.0,28.0,29206.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
12995.0,32.0,29198.0,97.0,0.0,1400.0,5.0,4.0,5.0,1060.0,0,0,1
17200.0,28.0,28817.0,110.0,0.0,1598.0,5.0,4.0,5.0,1130.0,0,0,1
15750.0,23.0,28227.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,28.0,28000.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
16950.0,23.0,28000.0,110.0,0.0,1600.0,5.0,4.0,5.0,1115.0,0,0,1
17200.0,31.0,25266.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
17200.0,27.0,23489.0,110.0,0.0,1600.0,5.0,4.0,5.0,1115.0,0,0,1
16895.0,29.0,22575.0,110.0,0.0,1600.0,5.0,4.0,5.0,1115.0,0,0,1
14900.0,30.0,22000.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,25.0,20019.0,110.0,0.0,1900.0,5.0,4.0,5.0,1152.5,0,0,1
17200.0,29.0,20000.0,110.0,0.0,1600.0,5.0,4.0,5.0,1115.0,0,0,1
15450.0,25.0,17003.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,31.0,16238.0,110.0,0.0,1600.0,5.0,4.0,5.0,1152.5,0,0,1
16650.0,25.0,15414.0,97.0,0.0,1400.0,5.0,4.0,5.0,1110.0,0,0,1
17200.0,28.0,8537.0,110.0,0.0,1600.0,5.0,4.0,5.0,1130.0,0,0,1
14900.0,30.0,7000.0,97.0,0.0,1400.0,5.0,4.0,5.0,1100.0,0,0,1
17200.0,20.0,66966.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
15950.0,19.0,51884.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
17200.0,19.0,50005.0,110.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
16450.0,20.0,48110.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
17200.0,20.0,37500.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
17200.0,16.0,34472.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
15950.0,20.0,33329.0,97.0,0.0,1400.0,3.0,4.0,5.0,1100.0,0,0,1
17200.0,20.0,31850.0,110.0,0.0,1600.0,3.0,4.0,5.0,1120.0,0,0,1
17200.0,17.0,30351.0,90.0,0.0,1900.0,3.0,4.0,5.0,1152.5,0,1,0
